epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.776,2.11099,3.38825,1.695,0.64527,0.34118,0.49364,0.21025,1.67449,3.43226,1.50955,0.000658333,0.000658333,0.000658333
2,603.02,1.99713,2.64844,1.58524,0.30228,0.58824,0.33948,0.12245,1.85653,3.02538,1.66098,0.00129877,0.00129877,0.00129877
3,874.28,1.91516,2.29743,1.63621,0.68741,0.67059,0.72095,0.26825,1.89713,2.48811,1.79596,0.0019128,0.0019128,0.0019128
4,1138.27,1.92856,2.06791,1.65321,0.5173,0.6,0.47218,0.17833,2.0431,2.65049,1.91285,0.0018812,0.0018812,0.0018812
5,1414.54,1.911,1.79898,1.67521,0.69064,0.67059,0.64309,0.27431,1.83975,1.81058,1.65691,0.0018416,0.0018416,0.0018416
6,1729.3,1.88851,1.74786,1.63717,0.69403,0.65882,0.68501,0.31413,1.81474,1.73634,1.66552,0.001802,0.001802,0.001802
7,2120.95,1.84057,1.62842,1.5829,0.62998,0.71765,0.64053,0.29738,1.68014,2.184,1.64879,0.0017624,0.0017624,0.0017624
8,2404.11,1.80329,1.57123,1.56951,0.73435,0.74805,0.78981,0.34511,1.75512,1.59985,1.59529,0.0017228,0.0017228,0.0017228
9,2679.35,1.81609,1.55395,1.58208,0.64283,0.6,0.59215,0.25794,1.81129,3.37134,1.68315,0.0016832,0.0016832,0.0016832
10,2962.35,1.77511,1.47876,1.55464,0.66278,0.72941,0.76912,0.30471,1.76228,1.85185,1.65784,0.0016436,0.0016436,0.0016436
11,3243.52,1.8115,1.45198,1.60896,0.80599,0.75294,0.82053,0.38674,1.65953,1.47062,1.57464,0.001604,0.001604,0.001604
12,3519.71,1.78541,1.46879,1.58425,0.66082,0.67059,0.62082,0.21371,1.79854,1.97184,1.64001,0.0015644,0.0015644,0.0015644
13,3796.76,1.78881,1.47414,1.56509,0.6896,0.77647,0.77916,0.35071,1.65172,1.61844,1.53293,0.0015248,0.0015248,0.0015248
14,4074.2,1.73161,1.38745,1.52276,0.82501,0.77655,0.79202,0.35696,1.80967,1.47903,1.66516,0.0014852,0.0014852,0.0014852
15,4319.77,1.7556,1.38568,1.51277,0.75866,0.70268,0.72336,0.35243,1.77803,1.49933,1.57776,0.0014456,0.0014456,0.0014456
16,4565.65,1.74298,1.31455,1.51323,0.60858,0.67682,0.60512,0.27382,1.72372,1.67143,1.56743,0.001406,0.001406,0.001406
17,4811.58,1.71127,1.31707,1.47258,0.81861,0.70588,0.77625,0.38233,1.63392,1.30758,1.52557,0.0013664,0.0013664,0.0013664
18,5058.6,1.75626,1.34729,1.52397,0.70482,0.78824,0.721,0.32643,1.79503,1.46486,1.61151,0.0013268,0.0013268,0.0013268
19,5308.19,1.68598,1.27455,1.47823,0.79579,0.85882,0.81384,0.39889,1.66423,1.32666,1.52262,0.0012872,0.0012872,0.0012872
20,5555.39,1.71606,1.28532,1.50724,0.80413,0.82353,0.81599,0.38576,1.739,1.42753,1.58082,0.0012476,0.0012476,0.0012476
21,5803.63,1.68343,1.27351,1.52228,0.82095,0.81176,0.83553,0.40368,1.72581,1.20996,1.56559,0.001208,0.001208,0.001208
22,6050.43,1.66243,1.20743,1.46855,0.7999,0.8,0.77521,0.36604,1.71641,1.33456,1.55842,0.0011684,0.0011684,0.0011684
23,6309.4,1.68967,1.23993,1.45857,0.75903,0.82353,0.78838,0.38844,1.61939,1.23408,1.50104,0.0011288,0.0011288,0.0011288
24,6558.12,1.65051,1.23053,1.47436,0.77775,0.82353,0.81351,0.44908,1.5784,1.20327,1.50758,0.0010892,0.0010892,0.0010892
25,6807.16,1.68821,1.18882,1.47502,0.79425,0.77647,0.78486,0.39974,1.69935,1.48118,1.58884,0.0010496,0.0010496,0.0010496
26,7052.7,1.68798,1.21584,1.49951,0.76373,0.70588,0.75693,0.38224,1.68886,1.40387,1.61536,0.00101,0.00101,0.00101
27,7298.55,1.65872,1.17993,1.47648,0.80686,0.8355,0.80335,0.42766,1.63178,1.22592,1.53539,0.0009704,0.0009704,0.0009704
28,7544.76,1.63469,1.16544,1.4719,0.81134,0.84706,0.81442,0.42795,1.56699,1.22652,1.54188,0.0009308,0.0009308,0.0009308
29,7790.86,1.63993,1.15725,1.48793,0.78661,0.82353,0.81902,0.42114,1.59619,1.17509,1.51967,0.0008912,0.0008912,0.0008912
30,8036.41,1.63699,1.1255,1.48759,0.89197,0.77707,0.84961,0.46103,1.60497,1.16547,1.54593,0.0008516,0.0008516,0.0008516
31,8283.16,1.64842,1.12615,1.47841,0.81442,0.84706,0.85872,0.4367,1.60138,1.20367,1.51107,0.000812,0.000812,0.000812
32,8529.97,1.64508,1.14231,1.48652,0.79184,0.85035,0.85052,0.45367,1.52667,1.28914,1.45789,0.0007724,0.0007724,0.0007724
33,8778.57,1.60661,1.12027,1.44984,0.77213,0.85882,0.83231,0.44358,1.55656,1.13006,1.472,0.0007328,0.0007328,0.0007328
34,9025.02,1.6043,1.09685,1.42033,0.84349,0.82427,0.8499,0.45146,1.54776,1.11263,1.46183,0.0006932,0.0006932,0.0006932
35,9272.33,1.61776,1.10644,1.45333,0.84421,0.85882,0.85012,0.43241,1.6341,1.15004,1.51769,0.0006536,0.0006536,0.0006536
36,9519.74,1.60369,1.12785,1.42657,0.83442,0.81176,0.83312,0.41396,1.63488,1.23988,1.5258,0.000614,0.000614,0.000614
37,9765.79,1.57156,1.06623,1.43059,0.82098,0.86325,0.83883,0.4336,1.57537,1.10821,1.4957,0.0005744,0.0005744,0.0005744
38,10013,1.58378,1.07522,1.42917,0.89827,0.85882,0.8673,0.43692,1.59364,1.18175,1.48745,0.0005348,0.0005348,0.0005348
39,10259.5,1.52871,1.051,1.41203,0.89391,0.87059,0.86645,0.46754,1.55344,1.06052,1.47802,0.0004952,0.0004952,0.0004952
40,10506.6,1.54981,1.03748,1.40631,0.84509,0.82353,0.83846,0.44877,1.53751,1.12399,1.49108,0.0004556,0.0004556,0.0004556
41,10751.7,1.51333,0.9491,1.45776,0.84218,0.8162,0.85076,0.46504,1.5535,1.12943,1.48429,0.000416,0.000416,0.000416
42,10996.2,1.49123,0.9127,1.42806,0.78656,0.82377,0.82977,0.43309,1.54914,1.1492,1.52465,0.0003764,0.0003764,0.0003764
43,11240.9,1.49214,0.95277,1.45132,0.87841,0.84998,0.86481,0.46179,1.54777,1.11746,1.47632,0.0003368,0.0003368,0.0003368
44,11486.1,1.51049,0.90215,1.45646,0.90432,0.82353,0.89482,0.48956,1.53969,1.00283,1.45845,0.0002972,0.0002972,0.0002972
45,11731.1,1.46556,0.89676,1.4278,0.87769,0.84423,0.87636,0.47074,1.56129,1.07012,1.46271,0.0002576,0.0002576,0.0002576
46,11975.6,1.45354,0.8695,1.42282,0.90133,0.82353,0.90294,0.48457,1.51081,1.03481,1.44285,0.000218,0.000218,0.000218
47,12226.2,1.43978,0.86503,1.40923,0.9159,0.83529,0.90229,0.49339,1.51405,0.99552,1.45239,0.0001784,0.0001784,0.0001784
48,12473.5,1.4396,0.85943,1.40184,0.88274,0.87059,0.89451,0.47894,1.53524,1.05723,1.47289,0.0001388,0.0001388,0.0001388
49,12718.4,1.43379,0.84501,1.39693,0.89241,0.87059,0.90131,0.48563,1.53146,1.02777,1.46669,9.92e-05,9.92e-05,9.92e-05
50,12964.5,1.43529,0.85611,1.4051,0.87308,0.89412,0.89467,0.49236,1.52311,1.04219,1.45712,5.96e-05,5.96e-05,5.96e-05
